IKin__LowPassTotalFlowRate,rightHipInnerLowPassFlowRate,leftHipInnerLowPassFlowRate,rightHipOuterLowPassFlowRate,leftHipOuterLowPassFlowRate,rightKneeLowPassFlowRate,leftKneeLowPassFlowRate,rightAnkleInnerLowPassFlowRate,leftAnkleInnerLowPassFlowRate,rightAnkleOuterLowPassFlowRate,leftAnkleOuterLowPassFlowRate,SpineInnerLowPassFlowRate,SpineOuterLowPassFlowRate,qd_x,qd_y,exactCenterOfMassVelocityX,exactCenterOfMassVelocityY,swingTime0,transferTime0,RIGHT_FOOT_LINKFootForceMag,LEFT_FOOT_LINKFootForceMag,
9.084824357267026,0.5571081787480096,0.2912114881529464,0.42257736618128755,0.32343522515287326,3.4825285675369386,0.34909131574620417,1.7278591656071953,0.017768076484130643,1.5904669474739122,0.043751552888174707,0.21284589896234035,0.06618057433301562,0.1803149231891333,0.031246606525494432,0.20765496972551034,0.009184693517671266,0.9,0.25,0.0,986.4817544497599,
9.00342999081855,0.5522839010398575,0.2927797939722206,0.41357519256816117,0.32594362369365865,3.4396644926498148,0.3528217521172779,1.7114395001820044,0.019658155701264914,1.5686435339157618,0.04609727762139482,0.21262990532077838,0.06789286203635429,0.18075190171069536,0.03011283763469872,0.2079984241818062,0.008006005221990688,0.9,0.25,0.0,984.8827732335884,
8.92157612719011,0.5477845235660556,0.29427035070107227,0.40491544081358316,0.32835882825676527,3.396993095632993,0.3565053909579844,1.6945411850944299,0.021718715822575767,1.5464009231856377,0.0484624576425718,0.21220104621947097,0.0694241692969727,0.18116648788372788,0.028997560647958033,0.20835469562279205,0.006840757222221535,0.9,0.25,0.0,983.3158239731036,
8.839289933831763,0.5436161193406841,0.29568017811954056,0.3966091526992971,0.3306820738530736,3.3545320152023237,0.3601405090614104,1.6771713251335965,0.023923244245573128,1.5237511123075405,0.050845481014293724,0.21156780534896424,0.07077091750546585,0.1815566685773932,0.027900299730019687,0.20872355506153642,0.005688876568438832,0.9,0.25,0.0,981.781108046867,
8.756605235503333,0.5397847756723521,0.29700620903525443,0.38866749994072025,0.3329147219349625,3.3122979912076453,0.36372537447915715,1.6593376517978824,0.026250437154880516,1.5007068230043423,0.05324446438866297,0.21073869975420942,0.07193058713326306,0.18192044559336099,0.026820565877498283,0.20910476544050366,0.004550279088900148,0.9,0.25,0.0,980.2786386837693,
8.67356152446792,0.5362966048696717,0.2982453880838281,0.3811017787755038,0.3350582605067024,3.270306892392333,0.3672582959605576,1.6410484979235167,0.02868320223725922,1.477281481667667,0.05565725588591965,0.2097222523893936,0.07290161377556562,0.18225583621398886,0.02575786249511686,0.20949808352689278,0.003424863863215787,0.9,0.25,0.0,978.8083513271471,
8.590203123947184,0.5331577552843442,0.29939475794689285,0.37392340450337824,0.3371142907713346,3.2285737443304305,0.3707376597429286,1.6223127719922334,0.031207788159552937,1.4534891987127003,0.05808149070974025,0.20852696514463004,0.07368329664901783,0.18256087415395233,0.024711688863040267,0.2099032636962734,0.0023125099528822097,0.9,0.25,0.0,977.3701968839871,
8.445692304718381,0.5306358286970979,0.30002946425043703,0.3678158852563723,0.3391800597067529,3.1870636262145413,0.3740980693184038,1.5680779294730633,0.03383133533715848,1.4038799580316337,0.060460460890527146,0.2071405916113559,0.07347909593103713,0.18247170922508912,0.02486822581425866,0.21032208905878297,0.001210379414994295,0.9,0.25,0.0,975.9642091147479,
8.028743035816838,0.5309330437481506,0.29858639364082884,0.36641313586423424,0.3414105187154574,3.1464800910017314,0.37722020325179556,1.3603997232986673,0.03765694437901964,1.2314830226936304,0.06420219907443231,0.20485941570170507,0.06909834444718585,0.1822996956652995,0.02394898591956434,0.21100282688152155,8.425898593608864E-5,0.9,0.25,0.0,974.5905422904553,
7.693736453850873,0.5341927926675819,0.29791786010957233,0.36728206655531365,0.34316113861584824,3.1085562512632223,0.38142385142229607,1.187835680725545,0.05152346827629331,1.0723326352416498,0.08330908435753027,0.20118769677426768,0.06501392784175439,0.18020798457379572,0.023217083962942888,0.21308947143495272,-0.0012116245147572513,0.9,0.25,0.0,973.187714948467,
7.489434483510022,0.5436485630957045,0.2992893555985006,0.37283219089131914,0.3439439687019276,3.0774873950805013,0.3884951783289101,1.0378454336365348,0.09127291010818031,0.9337922116800333,0.14318771727459723,0.19554857130467004,0.0620909878091453,0.17594994785956553,0.022615599103892905,0.21559734542937734,-0.002405448736104631,0.9,0.25,0.0,986.1384867462057,
7.338092532286614,0.5576180145412243,0.2973352274559467,0.3832256587720476,0.3406466685833644,3.0536751346501383,0.3916722058904616,0.9063877983603024,0.13593694841020504,0.811082561526713,0.21184785644432527,0.1900296129042213,0.0586348447476656,0.17051683491122405,0.02195443441550013,0.21763562001487544,-0.0031744523396594238,0.9,0.25,0.0,1076.4769464478934,
7.182773266233637,0.5734367909641787,0.2885790921521275,0.3970305671854637,0.3329875926923982,3.0357423485677253,0.38759700054450746,0.7920489731769376,0.17338818774125528,0.7005012821267464,0.26150495826682507,0.18622430786075592,0.05373216495471732,0.1646159747097982,0.021305673893485106,0.21903245642063876,-0.0038051608234228713,0.9,0.25,0.0,1140.166419068833,
7.030524045335031,0.5907275163388745,0.275572879587522,0.4133864017511043,0.322774731486869,3.02298072171474,0.37852114564951994,0.6928129494902089,0.20185217695689894,0.602204057382607,0.2974332273155729,0.1840353156020446,0.04822292205906896,0.15849262523829322,0.020958861362032868,0.2200642157242672,-0.004916030204182071,0.9,0.25,0.0,1136.2121878382432,
6.908034546464622,0.6104192703220689,0.26283519310608644,0.4320172678584059,0.31115479278182184,3.0149617337596673,0.367585499029693,0.6061431499034281,0.218078871377381,0.5222699883728227,0.33656954362166114,0.18259631488411637,0.04340292144747021,0.1522364680379387,0.02131134870302267,0.2205607051256586,-0.006334417325778946,0.9,0.25,0.0,1111.291907260073,
6.816831689056185,0.63323988188031,0.25297350594759604,0.45261997862106323,0.2991892612708138,3.0108850849031894,0.35742351052418453,0.5301985493347575,0.22096357668719338,0.4580343840608598,0.3798716092728481,0.1812143133578984,0.040218033195472395,0.14599514473755093,0.021945989279556426,0.22060301138991156,-0.008067713860875235,0.9,0.25,0.0,1094.8636715726846,
